"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"logo5";2;"LOGO";;;
2;"J11";"Pin_Header_Straight_1x03_Pitch1.00mm";1;"Conn_01x03";;;
3;"J9";"Pin_Header_Straight_2x08_Pitch2.54mm";1;"Conn_02x08_Odd_Even";;;
4;"D20,D18,D19,D21";"LED_0603_HandSoldering";4;"LED";;;
5;"U5";"TMS320F28069PNT";1;"TMS320F28069_PN_80";;;
6;"U4";"SOIC127P1032X265-16N";1;"ICE3BR4765JGXUMA1";;;
7;"C2,C4,C5,C11,C12,C19,C23,C27,C1";"C_0603_HandSoldering";9;"10nf";;;
8;"U1,U2,U3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";3;"ICM7555";;;
9;"U6";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"TJA1042T/3";;;
10;"IC1,IC2,IC3";"SOIC-16W_5.3x10.2mm_Pitch1.27mm";3;"AUIRS2110S";;;
11;"U10";"lm324dt so14";1;"LM324AMX/NOPB";;;
12;"U11";"MSOP-10_3x3mm_Pitch0.5mm";1;"INA2181A1";;;
13;"C3,C6,C7,C9,C13,C14,C62,C63";"C_0603_HandSoldering";8;"1uf";;;
14;"C16,C17,C20,C21,C24,C25,C30,C31,C64,C65,C66";"C_0603_HandSoldering";11;"100nf";;;
15;"C18,C22,C26";"C_0603_HandSoldering";3;"1nf";;;
16;"C29,C32";"C_0603_HandSoldering";2;"470nf";;;
17;"C34,C35,C36,C37,C38,C39,C42,C44,C45,C46,C49,C50,C51,C52,C53,C54,C55";"C_0603_HandSoldering";17;"2.2uF";;;
18;"C40,C41,C43,C47,C56,C57,C58,C59,C60,C61";"C_0603_HandSoldering";10;"1.2uF";;;
19;"C48";"C_0603_HandSoldering";1;"10uF";;;
20;"C67,C68,C69";"C_0603_HandSoldering";3;"100NF";;;
21;"D1,D2,D3";"D_SMA";3;"D";;;
22;"D4,D7,D10,D13,D14";"D_SOD-123";5;"D_Zener";;;
23;"D5,D6,D8,D9,D11,D12,D15,D16";"D_SOD-123";8;"D";;;
24;"D17";"D_SOD-123";1;"D_Zener_18v";;;
25;"J3";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CAN";;;
26;"J4";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"NTC";;;
27;"J6";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"Conn_01x05";;;
28;"J7,J8";"Pin_Header_Straight_1x03_Pitch2.54mm";2;"Conn_01x03";;;
29;"R1,R2,R3,R4,R5,R6,R7,R8,R9,R17";"R_0603_HandSoldering";10;"10R";;;
30;"R11,R13,R15";"R_0603_HandSoldering";3;"100k";;;
31;"R16";"R_0603_HandSoldering";1;"1k";;;
32;"R18";"R_0603_HandSoldering";1;"2.2R";;;
33;"R19,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R49,R50,R51,R52,R58,R59,R63,R64";"R_0603_HandSoldering";22;"R";;;
34;"R20,R21,R22,R23,R24,R25,R28";"R_0603_HandSoldering";7;"120";;;
35;"R26,R60,R61,R62";"R_0603_HandSoldering";4;"10K";;;
36;"R27,R42";"R_0603_HandSoldering";2;"0";;;
37;"R43";"R_0603_HandSoldering";1;"68k";;;
38;"R44,R45";"R_0603_HandSoldering";2;"2.2k";;;
39;"R46,R48";"R_0603_HandSoldering";2;"3.3k";;;
40;"R47";"R_0603_HandSoldering";1;"12k";;;
41;"R53,R54,R55";"R_0603_HandSoldering";3;"21k";;;
42;"R56,R57";"R_0603_HandSoldering";2;"4.7k";;;
43;"C8,C10,C15";"C_0805";3;"10uf";;;
44;"C28";"C_1210";1;"10uf";;;
45;"R10,R12,R14";"R_1812";3;"10k";;;
46;"U7";"TO-252-2_Rectifier";1;"LM7812CT_LTB";;;
47;"U8";"TO-252-2_Rectifier";1;"LM7805CT_LTB";;;
48;"U9";"SOT-223";1;"LD1117S33CTR";;;
49;"Q1";"SOT-323_SC-70";1;"-";;;
50;"C33";"CP_Radial_D5.0mm_P2.50mm";1;"CP1";;;
51;"L1";"L_Radial_D6.0mm_P4.00mm";1;"1mh";;;
52;"J10";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"Conn_01x01";;;
53;"J2";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Conn_02x04_Odd_Even";;;
54;"J1";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"BUCK_IN";;;
55;"J5";"BARREL_JACK";1;"Jack-DC";;;
56;"G***";"logo3";1;"LOGO";;;
57;"J12";"1pin";1;"Conn_01x01";;;
